"Category","Name","Source","Destination","HasSkillMd"
"16_科研项目管理与版本控制Skills","data-lineage-tracker","零基础教学包内置镜像","零基础教学包\10_完整功能Skills库\16_科研项目管理与版本控制Skills\data-lineage-tracker","True"
"16_科研项目管理与版本控制Skills","manuscript-version-manager","零基础教学包内置镜像","零基础教学包\10_完整功能Skills库\16_科研项目管理与版本控制Skills\manuscript-version-manager","True"
"16_科研项目管理与版本控制Skills","project-dashboard","零基础教学包内置镜像","零基础教学包\10_完整功能Skills库\16_科研项目管理与版本控制Skills\project-dashboard","True"
"16_科研项目管理与版本控制Skills","project-initializer","零基础教学包内置镜像","零基础教学包\10_完整功能Skills库\16_科研项目管理与版本控制Skills\project-initializer","True"
"16_科研项目管理与版本控制Skills","research-log","零基础教学包内置镜像","零基础教学包\10_完整功能Skills库\16_科研项目管理与版本控制Skills\research-log","True"
"16_科研项目管理与版本控制Skills","submission-revision-tracker","零基础教学包内置镜像","零基础教学包\10_完整功能Skills库\16_科研项目管理与版本控制Skills\submission-revision-tracker","True"
"16_科研项目管理与版本控制Skills","weekly-research-planner","零基础教学包内置镜像","零基础教学包\10_完整功能Skills库\16_科研项目管理与版本控制Skills\weekly-research-planner","True"
"17_Zotero_Obsidian长期知识库Skills","obsidian-paper-card","零基础教学包内置镜像","零基础教学包\10_完整功能Skills库\17_Zotero_Obsidian长期知识库Skills\obsidian-paper-card","True"
"17_Zotero_Obsidian长期知识库Skills","paper-reusable-insight-bank","零基础教学包内置镜像","零基础教学包\10_完整功能Skills库\17_Zotero_Obsidian长期知识库Skills\paper-reusable-insight-bank","True"
"17_Zotero_Obsidian长期知识库Skills","research-question-knowledge-graph","零基础教学包内置镜像","零基础教学包\10_完整功能Skills库\17_Zotero_Obsidian长期知识库Skills\research-question-knowledge-graph","True"
"17_Zotero_Obsidian长期知识库Skills","theory-variable-method-matrix","零基础教学包内置镜像","零基础教学包\10_完整功能Skills库\17_Zotero_Obsidian长期知识库Skills\theory-variable-method-matrix","True"
"17_Zotero_Obsidian长期知识库Skills","zotero-library-sync","零基础教学包内置镜像","零基础教学包\10_完整功能Skills库\17_Zotero_Obsidian长期知识库Skills\zotero-library-sync","True"
